date,sales,dayofweek,day,lag_1,lag_3,lag_7,lag_35,lag_21,lag_14,lag_28,lag_30,lag_60,rolling_7,rolling_7_std,rolling_14_mean,rolling_28_mean,rolling_30,rolling_60,rolling_90,rolling_30_std,ewm_7,ewm_14,dow_sin,dow_cos,forecast,std_dev,safety_stock,reorder_point,EOQ
2011-05-24,2088,1,24,2395.0,3353.0,2064.0,2164.0,2716.0,2887.0,2031.0,2843.0,2653.0,2582.285714285714,592.4378207276872,2684.5,2754.035714285714,2717.266666666667,2880.366666666667,2896.411111111111,559.8052576001597,2600.3746132507854,2675.2470353990416,0.7818314824680298,0.7818314824680298,,,0.0,,11995.0548143808
2011-05-25,2147,2,25,2088.0,3467.0,2117.0,2179.0,2511.0,2537.0,2025.0,2374.0,3810.0,2586.5714285714284,588.6070724297198,2656.6428571428573,2758.3928571428573,2709.7,2852.65,2893.9444444444443,566.1037525230594,2487.0309599380885,2604.8140935747124,0.9749279121818236,0.9749279121818236,,,0.0,,11995.0548143808
2011-05-26,2223,3,26,2147.0,2395.0,2100.0,2421.0,2323.0,2204.0,2031.0,2031.0,3879.0,2604.1428571428573,573.297604091577,2658.0,2765.25,2716.1,2825.05,2889.4,559.2095622240004,2421.0232199535662,2553.905545402436,0.43388373911755823,0.43388373911755823,,,0.0,,11995.0548143808
2011-05-27,2576,4,27,2223.0,2088.0,2556.0,3078.0,3016.0,2866.0,2613.0,2025.0,2730.0,2607.0,573.0674771205684,2637.285714285714,2763.9285714285716,2734.4666666666667,2822.483333333333,2877.288888888889,544.5856845493568,2459.7674149651743,2556.851472800585,-0.433883739117558,-0.433883739117558,,544.5856845493571,2377.383176657724,,11995.0548143808
2011-05-28,3142,5,28,2576.0,2147.0,3353.0,4089.0,3713.0,3637.0,3480.0,2031.0,2126.0,2576.8571428571427,531.3170517909331,2601.9285714285716,2751.8571428571427,2771.5,2839.4166666666665,2873.9666666666667,532.7452486883384,2630.325561223881,2634.871279146467,-0.9749279121818236,-0.9749279121818236,,532.7452486883387,2325.6938762979958,,11995.0548143808
2011-05-29,3120,6,29,3142.0,2223.0,3467.0,2843.0,2886.0,3701.0,3568.0,2613.0,2182.0,2527.285714285714,443.3274614720336,2560.4285714285716,2735.8571428571427,2788.4,2855.05,2884.1666666666665,535.5779733309062,2752.7441709179107,2699.555110547489,-0.7818314824680299,-0.7818314824680299,,535.5779733309066,2338.060106443978,,11995.0548143808
2011-05-30,2798,0,30,3120.0,2576.0,2395.0,2374.0,2922.0,2498.0,2839.0,3480.0,2468.0,2584.8571428571427,449.4108842219361,2581.8571428571427,2734.3928571428573,2765.6666666666665,2860.55,2887.4777777777776,519.4409019077264,2764.058128188433,2712.6810961514507,0.0,0.0,,519.4409019077268,2267.6138879508535,,11995.0548143808
2011-05-31,2111,1,31,2798.0,3142.0,2088.0,2031.0,2887.0,2064.0,2716.0,3568.0,3367.0,2588.1428571428573,445.23755029251043,2585.214285714286,2712.785714285714,2717.1,2839.616666666667,2883.366666666667,509.8625474001586,2600.793596141325,2632.4569481777517,0.7818314824680298,0.7818314824680298,,509.8625474001589,2225.799680357059,,11995.0548143808
2011-06-01,2455,2,1,2111.0,3120.0,2147.0,2025.0,2537.0,2117.0,2511.0,2839.0,4164.0,2632.1428571428573,408.04143113636064,2609.3571428571427,2710.785714285714,2704.3,2811.133333333333,2883.233333333333,511.5141923402682,2564.345197105994,2608.796021288796,0.9749279121818236,0.9749279121818236,,511.51419234026855,2233.009919270478,,11995.0548143808
2011-06-02,2588,3,2,2455.0,2798.0,2223.0,2031.0,2204.0,2100.0,2323.0,2716.0,4219.0,2684.285714285714,368.4438963558832,2644.214285714286,2720.25,2700.0333333333333,2783.95,2879.733333333333,511.94689132783054,2570.2588978294953,2606.023218403037,0.43388373911755823,0.43388373911755823,,511.9468913278309,2234.8988622279826,,11995.0548143808
2011-06-03,3143,4,3,2588.0,2111.0,2576.0,2613.0,2866.0,2556.0,3016.0,2511.0,3517.0,2765.285714285714,401.51202318474253,2686.1428571428573,2724.785714285714,2721.1,2777.7166666666667,2870.4444444444443,516.8795864575727,2713.444173372121,2677.620123673411,-0.433883739117558,-0.433883739117558,,516.879586457573,2256.432491828868,,11995.0548143808
2011-06-04,3827,5,4,3143.0,2455.0,3142.0,3480.0,3637.0,3353.0,3713.0,2323.0,2649.0,2863.1428571428573,560.5894007118554,2720.0,2728.8571428571427,2771.233333333333,2797.35,2861.3444444444444,548.8829209581401,2991.8331300290906,2830.8707758119244,-0.9749279121818236,-0.9749279121818236,,548.8829209581404,2396.1427177808373,,11995.0548143808
2011-06-05,3756,6,5,3827.0,2588.0,3120.0,3568.0,3701.0,3467.0,2886.0,3016.0,2511.0,2954.0,653.0691642799673,2740.6428571428573,2759.9285714285716,2795.9,2818.1,2869.6222222222223,576.2094536561841,3182.874847521818,2954.2213404053887,-0.7818314824680299,-0.7818314824680299,,576.2094536561845,2515.4364138067913,,11995.0548143808
2011-06-06,2985,0,6,3756.0,3143.0,2798.0,2839.0,2498.0,2395.0,2922.0,3713.0,2878.0,2980.714285714286,649.4389153430109,2782.785714285714,2762.1785714285716,2771.633333333333,2819.883333333333,2870.4,551.0342303237661,3133.4061356413636,2958.325161724126,0.0,0.0,,551.0342303237665,2405.5342365789447,,11995.0548143808
2011-06-07,2692,1,7,2985.0,3827.0,2111.0,2716.0,2064.0,2088.0,2887.0,2886.0,3175.0,3063.714285714286,549.1440959304218,2825.9285714285716,2755.214285714286,2765.1666666666665,2811.8333333333335,2870.4666666666667,550.7840858225679,3023.0546017310226,2922.815139865024,0.7818314824680298,0.7818314824680298,,550.7840858225683,2404.4422333446437,,11995.0548143808
2011-06-08,2787,2,8,2692.0,3756.0,2455.0,2511.0,2117.0,2147.0,2537.0,2922.0,3984.0,3111.1428571428573,499.9411393925743,2871.6428571428573,2764.1428571428573,2760.6666666666665,2791.883333333333,2872.7555555555555,550.0094879014441,2964.040951298267,2904.7064544189166,0.9749279121818236,0.9749279121818236,,550.0094879014445,2401.060734126798,,11995.0548143808
2011-06-09,2717,3,9,2787.0,2985.0,2588.0,2323.0,2100.0,2223.0,2204.0,2887.0,4036.0,3129.5714285714284,479.39887955051415,2906.9285714285716,2782.464285714286,2755.0,2769.9,2867.8,549.5385525053313,2902.2807134737,2879.678927006424,0.43388373911755823,0.43388373911755823,,549.5385525053317,2399.004870523006,,11995.0548143808
2011-06-10,3320,4,10,2717.0,2692.0,3143.0,3016.0,2556.0,2576.0,2866.0,2537.0,2946.0,3154.8571428571427,484.8619833077715,2960.0714285714284,2798.6785714285716,2781.1,2776.133333333333,2860.188888888889,557.3660562768913,3006.7105351052746,2938.388403724014,-0.433883739117558,-0.433883739117558,,557.3660562768916,2433.1757573268524,,11995.0548143808
2011-06-11,3490,5,11,3320.0,2787.0,3827.0,3713.0,3353.0,3142.0,3637.0,2204.0,2424.0,3106.714285714286,419.2985071464488,2984.9285714285716,2793.4285714285716,2823.9666666666667,2793.9,2854.8555555555554,560.8927295151792,3127.532901328956,3011.9366169065547,-0.9749279121818236,-0.9749279121818236,,560.8927295151797,2448.5714128942827,,11995.0548143808
2011-06-12,3477,6,12,3490.0,2717.0,3756.0,2886.0,3467.0,3120.0,3701.0,2866.0,2158.0,3066.8571428571427,355.7355893410325,3010.4285714285716,2785.4285714285716,2844.3333333333335,2815.883333333333,2862.5222222222224,573.4246986810654,3214.899675996717,3073.94506823831,-0.7818314824680299,-0.7818314824680299,,573.4246986810659,2503.279594748209,,11995.0548143808
2011-06-13,3056,0,13,3477.0,3320.0,2985.0,2922.0,2395.0,2798.0,2498.0,3637.0,2455.0,3077.0,354.0207150247976,3028.8571428571427,2805.3571428571427,2824.9666666666667,2825.9,2870.5555555555557,555.25362228217,3175.174756997538,3071.5523924647537,0.0,0.0,,555.2536222821706,2423.953948558586,,11995.0548143808
2011-06-14,2784,1,14,3056.0,3490.0,2692.0,2887.0,2088.0,2111.0,2064.0,3701.0,2764.0,3090.1428571428573,338.7228112441576,3076.9285714285716,2831.0714285714284,2794.4,2826.233333333333,2874.4777777777776,530.0326990563553,3077.381067748154,3033.212073352128,0.7818314824680298,0.7818314824680298,,530.0326990563559,2313.8522689185043,,11995.0548143808
2011-06-15,2576,2,15,2784.0,3477.0,2787.0,2537.0,2147.0,2455.0,2117.0,2498.0,3485.0,3060.0,377.3782364330718,3085.5714285714284,2847.464285714286,2797.0,2811.0833333333335,2876.722222222222,528.7182940685503,2952.035800811115,2972.2504634101683,0.9749279121818236,0.9749279121818236,,528.7182940685509,2308.114247530909,,11995.0548143808
2011-06-16,2440,3,16,2576.0,3056.0,2717.0,2204.0,2223.0,2588.0,2100.0,2064.0,3923.0,3020.4285714285716,430.16967859317344,3075.0,2859.6071428571427,2809.5333333333333,2786.366666666667,2874.188888888889,515.0224456664286,2824.026850608336,2901.2837347923632,0.43388373911755823,0.43388373911755823,,515.0224456664291,2248.325162901917,,11995.0548143808
2011-06-17,2889,4,17,2440.0,2784.0,3320.0,2866.0,2576.0,3143.0,2556.0,2117.0,2680.0,2958.8571428571427,410.5420922680289,3056.8571428571427,2871.5,2835.266666666667,2789.85,2861.4666666666667,498.2397244183819,2840.270137956252,2899.645903483452,-0.433883739117558,-0.433883739117558,,498.23972441838254,2175.0603667722535,,11995.0548143808
2011-06-18,3740,5,18,2889.0,2576.0,3490.0,3637.0,3142.0,3827.0,3353.0,2100.0,2164.0,2994.5714285714284,470.88776339408867,3050.6428571428573,2885.3214285714284,2889.9333333333334,2816.116666666667,2860.788888888889,504.71275089850815,3065.2026034671885,3011.693116545765,-0.9749279121818236,-0.9749279121818236,,504.7127508985089,2203.3182969612308,,11995.0548143808
2011-06-19,3013,6,19,3740.0,2440.0,3477.0,3701.0,3120.0,3756.0,3467.0,2556.0,2179.0,2928.285714285714,421.75376476711983,2997.5714285714284,2869.1071428571427,2905.1666666666665,2830.016666666667,2866.133333333333,501.17056655554757,3052.1519526003913,3011.867367673257,-0.7818314824680299,-0.7818314824680299,,501.17056655554825,2187.854927826687,,11995.0548143808
2011-06-20,2673,0,20,3013.0,2889.0,3056.0,2498.0,2798.0,2985.0,2395.0,3353.0,2421.0,2873.5714285714284,427.2317314771375,2975.285714285714,2879.035714285714,2882.5,2834.2166666666667,2869.233333333333,495.56375072686876,2957.363964450293,2966.6850519249,0.0,0.0,,495.5637507268694,2163.378431282806,,11995.0548143808
2011-06-21,2765,1,21,2673.0,3740.0,2784.0,2064.0,2111.0,2692.0,2088.0,3467.0,3078.0,2870.8571428571427,427.95538263212677,2980.5,2903.214285714286,2859.1,2829.0,2877.5555555555557,483.4380714895307,2909.2729733377196,2939.7937116380253,0.7818314824680298,0.7818314824680298,,483.43807148953135,2110.443903912242,,11995.0548143808
2011-06-22,2450,2,22,2765.0,3013.0,2576.0,2117.0,2455.0,2787.0,2147.0,2395.0,4089.0,2852.8571428571427,444.74465654329106,2956.4285714285716,2914.035714285714,2860.9333333333334,2801.6833333333334,2880.1666666666665,481.71861391117653,2794.4547300032896,2874.487883356015,0.9749279121818236,0.9749279121818236,,481.71861391117716,2102.9376296275286,,11995.0548143808
2011-06-23,2518,3,23,2450.0,2673.0,2440.0,2100.0,2588.0,2717.0,2223.0,2088.0,2843.0,2864.0,433.51201444327603,2942.214285714286,2924.5714285714284,2875.266666666667,2796.266666666667,2878.6666666666665,463.99858303390397,2725.341047502467,2826.9561655350903,0.43388373911755823,0.43388373911755823,,463.9985830339046,2025.581018000208,,11995.0548143808
2011-06-24,2980,4,24,2518.0,2765.0,2889.0,2556.0,3143.0,3320.0,2576.0,2147.0,2374.0,2877.0,435.74533847191134,2917.9285714285716,2939.0,2903.0333333333333,2806.366666666667,2869.4444444444443,443.38093556555623,2789.00578562685,2847.36201014534,-0.433883739117558,-0.433883739117558,,443.3809355655569,1935.574891096468,,11995.0548143808
2011-06-25,3219,5,25,2980.0,2450.0,3740.0,3353.0,3827.0,3490.0,3142.0,2223.0,2031.0,2802.5714285714284,280.67232207852715,2898.5714285714284,2941.75,2936.233333333333,2826.1666666666665,2862.1111111111113,427.7178963412381,2896.5043392201374,2896.9137421573787,-0.9749279121818236,-0.9749279121818236,,427.7178963412389,1867.1980552675254,,11995.0548143808
2011-06-26,3520,6,26,3219.0,2518.0,3013.0,3467.0,3756.0,3477.0,3120.0,2576.0,2025.0,2875.0,388.66523727581716,2901.6428571428573,2956.035714285714,2967.7,2851.0833333333335,2870.8888888888887,434.965171019473,3052.3782544151027,2979.991909915379,-0.7818314824680299,-0.7818314824680299,,434.9651710194738,1898.8359579621413,,11995.0548143808
2011-06-27,2797,0,27,3520.0,2980.0,2673.0,2395.0,2985.0,3056.0,2798.0,3142.0,2031.0,2892.714285714286,380.66770911374323,2883.1428571428573,2956.0,2956.2,2863.85,2878.3444444444444,434.7586250656391,2988.533690811327,2955.592988581709,0.0,0.0,,434.7586250656399,1897.9342837356915,,11995.0548143808
2011-06-28,2140,1,28,2797.0,3219.0,2765.0,2088.0,2692.0,2784.0,2111.0,3120.0,2613.0,2803.4285714285716,476.7794238928723,2837.1428571428573,2957.035714285714,2923.5333333333333,2855.9666666666667,2877.8777777777777,458.2114956138083,2776.400268108495,2846.8472567259323,0.7818314824680298,0.7818314824680298,,458.21149561380906,2000.3175476874187,,11995.0548143808
2011-06-29,2110,2,29,2140.0,3520.0,2450.0,2147.0,2787.0,2576.0,2455.0,2798.0,3480.0,2754.8571428571427,532.8115453489561,2803.8571428571427,2944.714285714286,2900.6,2833.133333333333,2873.9,481.34420976663,2609.800201081371,2748.6009557939988,0.9749279121818236,0.9749279121818236,,481.3442097666306,2101.3031722046303,,11995.0548143808
2011-06-30,2458,3,30,2110.0,2797.0,2518.0,2223.0,2717.0,2440.0,2588.0,2111.0,3568.0,2746.285714285714,537.7169993858956,2805.1428571428573,2940.0714285714284,2912.1666666666665,2814.633333333333,2863.8,465.62853948357656,2571.850150811028,2709.8541616761204,0.43388373911755823,0.43388373911755823,,465.62853948357724,2032.6965760328121,,11995.0548143808
2011-07-01,3553,4,1,2458.0,2140.0,2980.0,2576.0,3320.0,2889.0,3143.0,2455.0,2839.0,2828.1428571428573,616.9952535126531,2852.5714285714284,2954.714285714286,2948.766666666667,2826.5333333333333,2857.011111111111,471.56991534391875,2817.137613108271,2822.2736068161753,-0.433883739117558,-0.433883739117558,,471.56991534391943,2058.633590936658,,11995.0548143808
2011-07-02,4071,5,2,3553.0,2110.0,3219.0,3142.0,3490.0,3740.0,3827.0,2588.0,2716.0,2949.8571428571427,771.6133376615154,2876.214285714286,2963.4285714285716,2998.2,2849.116666666667,2855.366666666667,508.71415996777955,3130.6032098312035,2988.770459279454,-0.9749279121818236,-0.9749279121818236,,508.71415996778023,2220.786406891596,,11995.0548143808
2011-07-03,3795,6,3,4071.0,2458.0,3520.0,3120.0,3477.0,3013.0,3756.0,3143.0,2511.0,2989.1428571428573,811.4516680146826,2932.0714285714284,2964.8214285714284,3019.9333333333334,2870.516666666667,2858.4555555555557,528.6503918296181,3296.702407373403,3096.26773139722,-0.7818314824680299,-0.7818314824680299,,528.6503918296187,2307.8178210087385,,11995.0548143808
2011-07-04,2573,0,4,3795.0,3553.0,2797.0,2798.0,3056.0,2673.0,2985.0,3827.0,2323.0,2957.1428571428573,824.6020107848859,2924.9285714285716,2950.1071428571427,2978.133333333333,2874.6833333333334,2857.6111111111113,511.9483226434781,3115.776805530052,3026.498700532055,0.0,0.0,,511.9483226434787,2234.905110621648,,11995.0548143808
2011-07-05,3067,1,5,2573.0,4071.0,2140.0,2111.0,2784.0,2765.0,2692.0,3756.0,3016.0,3089.5714285714284,741.7766638602354,2946.5,2963.5,2955.1666666666665,2875.5333333333333,2863.788888888889,490.86967743983183,3103.5826041475393,3031.8988737952664,0.7818314824680298,0.7818314824680298,,490.8696774398325,2142.8865028696778,,11995.0548143808
2011-07-06,3420,2,6,3067.0,3795.0,2110.0,2455.0,2576.0,2450.0,2787.0,2985.0,3713.0,3276.714285714286,606.3361868044609,3015.785714285714,2986.1071428571427,2969.6666666666665,2870.65,2869.811111111111,498.1521255900496,3182.6869531106545,3083.645690629362,0.9749279121818236,0.9749279121818236,,498.1521255900503,2174.6779549926555,,11995.0548143808
2011-07-07,3240,3,7,3420.0,2573.0,2458.0,2588.0,2440.0,2518.0,2717.0,2692.0,2886.0,3388.4285714285716,491.52072087311075,3067.3571428571427,3004.785714285714,2987.9333333333334,2876.55,2870.5333333333333,497.66634254864636,3197.015214832991,3104.492931881154,0.43388373911755823,0.43388373911755823,,497.66634254864704,2172.557274146824,,11995.0548143808
2011-07-08,3159,4,8,3240.0,3067.0,3553.0,3143.0,2889.0,2980.0,3320.0,2787.0,2922.0,3332.1428571428573,492.09295482711315,3080.1428571428573,2999.035714285714,3000.3333333333335,2880.5,2861.366666666667,497.1213224107389,3187.5114111247435,3111.7605409643843,-0.433883739117558,-0.433883739117558,,497.12132241073954,2170.1779943685224,,11995.0548143808
2011-07-09,3816,5,9,3159.0,3420.0,4071.0,3827.0,3740.0,3219.0,3490.0,2717.0,2887.0,3295.714285714286,434.32925846862713,3122.785714285714,3010.6785714285716,3036.9666666666667,2895.983333333333,2858.9222222222224,515.6693997951178,3344.633558343558,3205.659135510496,-0.9749279121818236,-0.9749279121818236,,515.6693997951184,2251.149434463311,,11995.0548143808
2011-07-10,4180,6,10,3816.0,3240.0,3795.0,3756.0,3013.0,3520.0,3477.0,3320.0,2537.0,3350.714285714286,523.3468302778837,3169.9285714285716,3035.785714285714,3065.633333333333,2923.366666666667,2872.633333333333,554.396128969252,3553.4751687576686,3335.5712507853914,-0.7818314824680299,-0.7818314824680299,,554.3961289692526,2420.2105703647308,,11995.0548143808
2011-07-11,2737,0,11,4180.0,3159.0,2573.0,2985.0,2673.0,2797.0,3056.0,3490.0,2204.0,3374.1428571428573,484.9939616708091,3165.6428571428573,3024.3928571428573,3040.5333333333333,2932.25,2876.1111111111113,551.5592151492816,3349.3563765682516,3255.7617506755464,0.0,0.0,,551.5592151492822,2407.8260524081006,,11995.0548143808
2011-07-12,2312,1,12,2737.0,3816.0,3067.0,2692.0,2765.0,2140.0,2784.0,3477.0,2866.0,3266.285714285714,627.653490997945,3177.9285714285716,3007.535714285714,3001.7,2923.016666666667,2877.822222222222,560.7054146956002,3090.017282426189,3129.926850578469,0.7818314824680298,0.7818314824680298,,560.7054146956008,2447.753691985636,,11995.0548143808
